genome,group
Staph.beads.620,2
Staph.beads.673,2
Staph.beads.667,2
Staph.beads.485,2
marc.bacteremia.1857.a,2
marc.bacteremia.1859.a,2
Staph.beads.627,2
Staph.bead.752a,2
Staph.bead.742a,2
Staph.beads.440,2
Staph.beads.450,2
marc.bacteremia.226.a,2
Staph.beads.617,2
Staph.beads.500,2
Staph.beads.894a,2
Staph.beads.981a,2
Staph.bead.857a,2
Staph.beads.621,2
Staph.beads.507,2
Staph.beads.633,2
Staph.bead.802a,2
Staph.beads.591,2
Staph.bead.786a,2
Staph.bead.227,2
Staph.bead.130,2
Staph.bead.137,2
Path_Reg_48,2
Staph.bead.101,2
Staph.bead.191,2
Staph.bead.57,2
Staph.bead.196,2
Staph.bead.102,2
Staph.beads.360,2
Staph.bead.58,2
marc.bacteremia.611.a,2
marc.bacteremia.1784.a,2
marc.bacteremia.1774.a,2
marc.bacteremia.442.a,2
Staph.beads.542,2
Staph.beads.280,2
Staph.beads.619,2
Staph.beads.588,2
Staph.bead.219,2
Staph.bead.840a,2
Staph.bead.806a,2
Staph.bead.96,2
Staph.beads.385,2
marc.bacteremia.719.a,2
Staph.beads.880a,2
Staph.bead.787a,2
Staph.beads.639,2
Staph.beads.869a,2
Staph.beads.326,2
Staph.beads.891a,2
Staph.beads.644,2
Staph.beads.630,2
Staph.bead.30,2
Staph.bead.180,2
Path_Reg_73,2
Path_Reg_71,2
Staph.bead.739a,2
Staph.beads.874a,2
Sta.aur.bead.15,2
Path_Reg_80,2
Staph.bead.170,2
marc.bacteremia.720.a,2
Staph.bead.242,2
Staph.bead.195,2
Staph.bead.100,2
Staph.beads.552,2
Staph.beads.710,2
Staph.beads.733,2
Staph.beads.720,2
Staph.beads.709,2
Staph.bead.795a,2
Staph.bead.805a,2
Staph.beads.917a,2
Staph.beads.684,2
Staph.beads.683,2
Staph.beads.549,2
Staph.bead.88,2
Staph.beads.344,2
Staph.bead.228,2
marc.bacteremia.1003.a,2
Staph.beads.269,2
Staph.bead.68,2
Staph.beads.354,2
Staph.bead.236,2
Staph.bead.747a,2
Staph.beads.705,2
Staph.beads.688,2
Staph.beads.476,2
Staph.beads.556,2
marc.bacteremia.2070,2
Staph.beads.897a,2
Staph.beads.523,2
Staph.beads.289,2
Staph.bead.819a,2
Staph.beads.703,2
Staph.bead.781a,2
Staph.beads.390,2
Staph.bead.19,2
Path_Reg_44,2
Staph.beads.622,2
Staph.beads.623,2
marc.bacteremia.2075,2
marc.bacteremia.2104,2
marc.bacteremia.2090,2
Staph.beads.989a,2
Staph.beads.356,2
Staph.beads.407,2
Staph.beads.672,2
Staph.bead.844a,2
Staph.bead.767a,2
Staph.bead.143,2
Staph.bead.829a,2
Staph.beads.686,2
Staph.beads.251,2
Staph.bead.199,2
Staph.bead.73,2
Staph.bead.60,2
Staph.bead.220,2
Staph.bead.26,2
Staph.bead.28,2
Staph.bead.25,2
Staph.bead.29,2
Staph.bead.751a,2
Staph.bead.757a,2
Sta.aur.bead.44,2
Sta.aur.bead.55,2
Staph.beads.872a,2
Staph.beads.719,2
Staph.bead.745a,2
Staph.beads.463,2
Staph.beads.892a,2
Staph.beads.922a,2
Staph.bead.818a,2
Staph.bead.741a,2
Staph.beads.313,2
Staph.beads.679,2
Staph.bead.759a,2
Staph.beads.392,2
Sta.aur.bead.18,2
marc.bacteremia.337.a,2
marc.bacteremia.349.a,2
marc.bacteremia.336.a,2
Staph.beads.966a,2
Staph.beads.983a,2
Staph.beads.967a,2
