genome,group
marc.bacteremia.203.a,24
marc.bacteremia.202.a,24
marc.bacteremia.218.a,24
marc.bacteremia.204.a,24
Staph.beads.895a,24
Staph.beads.727,24
Staph.beads.465,24
Staph.beads.327,24
Staph.beads.494,24
Staph.beads.495,24
marc.bacteremia.275.a,24
marc.bacteremia.267.a,24
marc.bacteremia.261.a,24
Staph.beads.603,24
Staph.beads.902a,24
Staph.beads.449,24
Staph.beads.483,24
Staph.beads.641,24
Staph.beads.645,24
Staph.beads.316,24
marc.bacteremia.873.a,24
Staph.beads.418,24
Staph.beads.411,24
marc.bacteremia.882.a,24
Staph.beads.583,24
Sta.aur.bead.7,24
Staph.bead.16,24
Staph.bead.150,24
Staph.bead.149,24
Staph.beads.370,24
Staph.beads.332,24
Staph.bead.24,24
Staph.beads.317,24
marc.bacteremia.560.a,24
marc.bacteremia.547.a,24
marc.bacteremia.545.a,24
Staph.beads.956a,24
Staph.beads.626,24
Staph.beads.625,24
Staph.beads.628,24
Staph.beads.697,24
Staph.beads.698,24
Staph.bead.162,24
marc.bacteremia.988.a,24
marc.bacteremia.989.a,24
marc.bacteremia.973.a,24
Path_Reg_47,24
Sta.aur.bead.46,24
Staph.bead.81,24
Sta.aur.bead.70,24
Staph.bead.59,24
marc.bacteremia.1327.a,24
marc.bacteremia.2157,24
marc.bacteremia.2158,24
marc.bacteremia.1228.a,24
marc.bacteremia.1235.a,24
Staph.bead.182,24
Staph.beads.257,24
Staph.beads.304,24
Staph.bead.233,24
Staph.beads.292,24
Staph.bead.223,24
Staph.beads.375,24
Staph.beads.910a,24
marc.bacteremia.1956.a,24
marc.bacteremia.1960.a,24
marc.bacteremia.2181,24
marc.bacteremia.2182,24
Staph.bead.804a,24
Staph.beads.945a,24
s.69.SACA.pink.1,24
s.69.SACA.pink.2,24
s.69.ori.yellow,24
Staph.bead.147,24
marc.bacteremia.375.a,24
marc.bacteremia.383.a,24
marc.bacteremia.438.a,24
marc.bacteremia.436.a,24
marc.bacteremia.439.a,24
marc.bacteremia.1252.a,24
marc.bacteremia.1031.a,25
marc.bacteremia.1030.a,25
marc.bacteremia.1028.a,25
marc.bacteremia.1029.a,25
marc.bacteremia.296.a,26
marc.bacteremia.323.a,26
marc.bacteremia.316.a,26
marc.bacteremia.307.a,26
marc.bacteremia.299.a,26
marc.bacteremia.300.a,26
marc.bacteremia.320.a,26
marc.bacteremia.322.a,26
marc.bacteremia.297.a,26
marc.bacteremia.302.a,26
marc.bacteremia.298.a,26
marc.bacteremia.317.a,26
Sta.aur.bead.25,26
Staph.beads.531,26
Staph.beads.524,26
Staph.beads.444,26
Staph.beads.329,26
Staph.beads.324,26
Staph.beads.462,26
Staph.bead.188,26
Staph.beads.428,26
Staph.beads.461,26
Staph.beads.624,26
Staph.beads.404,26
Staph.bead.62,26
Staph.beads.694,26
Staph.beads.678,26
marc.bacteremia.2194,26
marc.bacteremia.264.a,26
Staph.beads.322,26
Path_Reg_50,26
Staph.bead.99,26
marc.bacteremia.675.a,26
marc.bacteremia.699.a,26
Staph.bead.35,26
Staph.bead.105,26
marc.bacteremia.238.a,26
Staph.beads.298,26
Staph.beads.306,26
Staph.beads.256,26
Staph.beads.301,26
Staph.beads.453,26
Staph.beads.402,26
Staph.beads.420,26
marc.bacteremia.265.a,26
Staph.bead.36,26
Staph.bead.238,26
Staph.bead.216,26
Staph.bead.231,26
Staph.beads.323,26
Staph.bead.13,26
Sta.aur.bead.31,26
Sta.aur.bead.11,26
Staph.bead.114,26
Staph.bead.113,26
Staph.bead.166,26
Staph.bead.154,26
Staph.beads.563,26
Staph.beads.456,26
Staph.beads.426,26
Staph.beads.435,26
Staph.bead.27,27
Staph.bead.83,27
Staph.bead.33,27
Staph.beads.731,27
Staph.beads.615,27
Staph.beads.635,27
Staph.beads.732,27
Staph.bead.34,27
Staph.bead.14,27
Staph.bead.80,27
Staph.beads.607,27
Sta.aur.bead.8,27
Staph.bead.144,27
marc.bacteremia.586.a,27
marc.bacteremia.585.a,27
Staph.beads.905a,27
Staph.bead.86,27
Staph.bead.244,28
